N,Error
8,0.138444411198706
16,0.0157503843273399
32,0.0011318272933547
64,7.58996696208492E-05
128,4.78285700156178E-06
256,2.9978633286909E-07
512,1.87525994732596E-08
1024,1.17233689422847E-09
2048,7.35160821108138E-11
4096,5.10502751183139E-12
